Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,lifeexp,Literacy,popLargeCity,Unemployment,population,continent
Afghanistan,97.7,33.211,7380,0.203327569,145.6107414,11.77723598,2.647003202,571.4452409,15.66137981,..,64.13,..,3913297,11.18,39074280,Asia
Albania,99.89,11.934,5600,1.948872038,115.0592696,5.01059723,3.802197488,4864.310616,12.39080048,62.4,78.333,..,466651,13.62,2877239,Europe
Algeria,99.61513519,24.846,145100,3.505747662,142.3842032,6.38032866,1.3,4793.936244,..,47.69105515,76.499,..,2659373,13.57,43984569,Africa
Algeria,99.61513519,24.846,145100,3.505747662,142.3842032,6.38032866,1.3,4793.936244,..,47.69105515,76.499,..,2659373,13.57,43984569,Africa
American Samoa,..,16.6,..,..,..,..,-6.98757764,9224.604762,..,..,..,..,..,..,55169,Africa
Andorra,100,..,470,6.104133927,..,6.54431868,0.34607189,44433.05219,18.9569397,91.56746703,..,..,..,..,77287,Europe
Angola,43.0016098,41.281,30840,1.0343173,270.5102195,2.79150295,-0.147212941,3409.927901,..,32,60.379,..,7515345,..,33032075,Africa
Antigua and Barbuda,100,15.53,500,5.239717055,112.4501693,5.17094231,3.144598617,14220.52085,..,..,76.752,..,..,..,98069,North America
Argentina,100,17.205,180120,4.089471516,..,10.45704365,2.818502978,10419.45541,13.26391983,74.29490687,76.372,..,14879100,8.35,45267449,South America
Argentina,100,17.205,180120,4.089471516,..,10.45704365,2.818502978,10419.45541,13.26391983,74.29490687,76.372,..,14879100,8.35,45267449,Europe
Armenia,99.7,14.298,5320,1.806581049,124.2076293,10.36270523,7.500000002,4198.823265,10.40312958,64.74488433,74.797,99.73606873,1077299,17.7,2964219,Europe
Aruba,100,11.532,..,..,101.3851388,..,1.999999104,26631.46904,..,97.17,76.01,..,..,..,106845,..
Australia,100,12.6,387200,15.7386474,115.6867846,9.20544815,2.300610624,56058.46595,13.61341,86.54504885,82.5,..,4708150,5.59,25550683,Oceania
Australia,100,12.6,387200,15.7386474,115.6867846,9.20544815,2.300610624,56058.46595,13.61341,86.54504885,82.5,..,4708150,5.59,25550683,Europe
Austria,100,10,65830,7.482751479,113.9997392,10.38262367,2.399587603,49031.10703,10.95016003,87.93558659,81.64390244,..,1878456,5.5,9015361,Europe
Austria,100,10,65830,7.482751479,113.9997392,10.38262367,2.399587603,49031.10703,10.95016003,87.93558659,81.64390244,..,1878456,5.5,9015361,Oceania
Azerbaijan,100,14.6,31970,3.244356904,149.5083333,3.73651457,0.153614647,5765.410772,6.950399876,79,72.693,99.79122925,2258971,5,10154978,Europe
"Bahamas, The",100,14.049,2150,5.631972841,110.879784,6.83129883,3.115613515,28283.40714,..,85,73.554,..,..,9.8,..,North America
"Bahamas, The",100,14.049,2150,5.631972841,110.879784,6.83129883,3.115613515,28283.40714,..,85,73.554,..,..,9.8,..,North America
Bahrain,100,14.365,30380,20.33362404,115.1846987,4.74813128,4.290949778,22167.03377,7.180349827,95.87813575,77.032,97.40389252,519958,..,1711057,Asia
Bangladesh,88,18.501,78710,0.492906613,161.2264589,2.27522182,7.284174423,1127.166886,..,10.3,72.052,72.89296722,18894385,4.37,164972348,Asia
Barbados,100,10.683,1200,4.192447306,124.245074,6.62216997,0.475110679,16254.46758,12.87915039,81.76077839,78.981,..,..,8.62,287437,North America
Belarus,100,10.8,56240,5.921082,459.0252181,5.75974846,2.5321835,6375.28893,12.28168964,74.43644541,74.12926829,..,1984675,5.65,9448772,Europe
Belgium,100,10.5,92770,8.155491115,113.1289026,10.40608311,1.621547198,46415.27805,12.49032974,87.67968082,81.49268293,..,2033713,7.09,11598451,Europe
Belize,94.18984222,21.081,650,1.729758499,..,5.70125389,1.812936351,4211.618921,21.29523087,47.0826258,74.365,..,..,6.6,398845,North America
Benin,34.5,36.621,7360,0.65860166,110.791799,2.6444838,5.671555469,1166.761917,19.87965012,13.3,61.174,..,867158,..,12175480,Africa
Bermuda,100,9.3,..,..,..,..,3.611419837,94309.58488,7.773469925,98.37,81.44195122,..,..,..,62237,North America
Bhutan,97.7,17.459,1330,1.783886808,158.4306914,3.24491644,4.651834675,3072.040901,24.04097939,..,71.129,66.5611496,..,..,773069,Asia
Bolivia,91.8,22.076,22250,1.987875656,142.4029535,6.4901948,4.195206334,2490.956447,..,43.83227607,70.945,..,1790827,3.65,11700207,South America
Bosnia and Herzegovina,100,8.293,22650,6.758099426,102.8515861,8.93159008,3.171434875,5828.704363,..,64.89202051,77.128,..,342509,20.53,3277152,Europe
Botswana,67.4,25.396,7870,3.569037983,141.143034,6.13456821,2.903997732,7859.354333,..,41.41379464,68.812,..,..,..,2359585,Africa
Brazil,99.8,14.125,449840,2.164421504,155.6687862,9.46933746,1.322869055,11021.71858,16.51235962,67.47128452,75.456,93.07582092,21391624,12.82,212821986,South America
British Virgin Islands,100,..,..,..,..,..,..,..,..,77.70426829,..,..,..,..,30266,..
Brunei Darussalam,100,15.376,6710,15.80753909,98.40633836,2.27036428,1.328602552,31752.14238,..,94.86669164,75.585,..,..,9.32,..,Asia
Brunei Darussalam,100,15.376,6710,15.80753909,98.40633836,2.27036428,1.328602552,31752.14238,..,94.86669164,75.585,..,..,9.32,..,Africa
Bulgaria,100,9,44040,6.223901903,107.9361475,7.45326805,3.50275153,8353.968238,12.73095036,63.41010138,74.81463415,..,1266840,6.16,6939018,Europe
Burkina Faso,17.21655655,38.419,4070,0.212053871,109.8315227,6.91190195,6.203489411,771.6498739,21.44400024,12,60.768,..,2415851,..,20997293,Africa
Burundi,9.3,39.646,570,0.052646114,188.6825292,7.51763725,0.500009999,214.1395173,20.40136909,2.660748535,60.898,68.37532806,846627,..,11948454,Africa
Burundi,9.3,39.646,570,0.052646114,188.6825292,7.51763725,0.500009999,214.1395173,20.40136909,2.660748535,60.898,68.37532806,846627,..,11948454,Asia
Cabo Verde,91.32674408,19.919,590,1.097676461,107.9353643,5.36013222,3.702039188,3619.607554,16.41258049,57.16214635,72.57,..,..,12.24,557026,Africa
Cambodia,89.07,22.889,11370,0.710207176,124.5715414,5.928473,6.8414315,1135.844407,..,32.90027854,69.289,..,1892615,0.14,16758448,Asia
Cameroon,60.99382401,35.9,8320,0.338678511,114.5771444,3.4925251,3.549087318,1481.730482,15.91162014,23.20297197,58.511,..,3458972,..,26655083,Africa
Canada,100,10.3,562260,15.38529105,111.9848311,10.78964806,3.039880225,51225.67348,..,92.70137191,81.9,..,6009852,6.34,37799407,North America
Canada,100,10.3,562260,15.38529105,111.9848311,10.78964806,3.039880225,51225.67348,..,92.70137191,81.9,..,6009852,6.34,37799407,North America
Cayman Islands,100,9.9,..,..,..,..,3.184043376,76499.99762,..,81.06769325,..,..,..,..,65854,..
Central African Republic,14.16905403,35.66,310,0.067449619,145.4704699,6.66541529,4.527278213,371.1092243,..,..,52.24,..,832920,..,4843954,Africa
Central African Republic,14.16905403,35.66,310,0.067449619,145.4704699,6.66541529,4.527278213,371.1092243,..,..,52.24,..,832920,..,4843954,Africa
Central African Republic,14.16905403,35.66,310,0.067449619,145.4704699,6.66541529,4.527278213,371.1092243,..,..,52.24,..,832920,..,4843954,North America
Chad,10.9,42.683,1020,0.067924102,113.9811251,4.40445328,-2.988695986,817.5347904,16.3627491,6.49999812,53.712,..,1275726,..,16502877,Africa
Channel Islands,100,9.939,..,..,..,..,..,..,..,..,82.766,..,..,..,174140,..
Chile,99.7,12.711,87040,4.712395783,125.5665448,9.06820488,1.184544707,14740.60891,21.31155014,82.32748693,79.909,96.40228271,6627552,6.96,19144605,South America
China,100,12.43,10017770,7.225768991,119.0880504,5.15119171,6.947200793,7346.836564,..,54.3,76.47,..,24862075,3.9,1440297825,Asia
Colombia,98.5,15.098,76060,1.555106166,131.8772691,7.67864275,1.359360868,7620.916172,16.14031982,62.25988032,76.925,..,10277518,8.87,50976248,South America
Comoros,79.20166016,32.365,250,0.307166816,..,4.64801407,3.815702113,1386.925789,..,8.478170295,63.912,..,..,..,872695,Africa
Congo (Kinshasa),46.12187958,33.378,3220,0.630050555,120.6571176,2.93953753,-4.373500998,2520.432893,15.68220043,8.65,63.954,..,2135075,..,..,Africa
Congo (Kinshasa),18.0063858,41.732,2280,0.028010253,..,4.15728664,3.726947653,408.9247884,14.00642014,8.619904916,60.026,..,12624344,..,..,Africa
Costa Rica,99.6,14.246,8180,1.652540276,123.45837,7.32879639,4.157698963,9946.126613,30.15142059,71.58166462,79.914,..,1337237,8.14,5102158,North America
Cote d'Ivoire,65.6,35.993,10380,0.424757468,112.4519787,4.45303488,7.359638088,1600.764863,20.68033028,43.83992085,57.017,..,4787992,3.27,..,..
Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,"Life expectancy at birth, total (years)",Literacy,popLargeCity,Unemployment,..,..
Croatia,100,8.9,17480,4.238057612,107.3639943,6.77827311,3.439217352,15396.80108,8.661589622,67.09619204,77.82682927,..,685942,11.21,4100719,Europe
Curacao,100,9.7,..,..,109.7456083,..,-1.73976542,..,..,68.12721625,78.01707317,..,..,..,..,..
Cyprus,100,10.668,7300,6.188092584,100.8078868,6.73828936,5.154777146,30758.31231,15.87238979,80.74318897,80.672,..,..,11.05,1208886,Europe
Czech Republic,100,10.8,103420,9.761725917,110.8672281,7.23133898,5.168724304,23144.40872,9.89634037,78.71917285,78.97804878,..,1284162,2.89,..,North America
Czech Republic,100,10.8,103420,9.761725917,110.8672281,7.23133898,5.168724304,23144.40872,9.89634037,78.71917285,78.97804878,..,1284162,2.89,..,Africa
Denmark,100,10.6,33330,5.78145978,108.6331578,10.03963375,2.821736341,63215.99807,15.25761986,97.09936216,81.10243902,..,1303974,5.83,5795780,Europe
Djibouti,60.2,21.944,470,0.49782862,116.2157532,2.46476316,5.403099843,..,13.25469971,55.68140925,65.893,..,551358,26.06,990447,Africa
Dominica,100,9.6,170,2.378953261,102.8522234,5.44028521,-6.79942797,6561.223769,..,69.61966879,..,..,..,..,72017,North America
Dominica,100,9.6,170,2.378953261,102.8522234,5.44028521,-6.79942797,6561.223769,..,69.61966879,..,..,..,..,72017,North America
Dominican Republic,100,19.799,23390,2.224840963,125.3535344,5.83058691,4.666704677,7273.367601,..,67.57124533,73.689,..,3094465,5.83,10866667,North America
Dominican Republic,100,19.799,23390,2.224840963,125.3535344,5.83058691,4.666704677,7273.367601,..,67.57124533,73.689,..,3094465,5.83,10866667,North America
Dominican Republic,100,19.799,23390,2.224840963,125.3535344,5.83058691,4.666704677,7273.367601,..,67.57124533,73.689,..,3094465,5.83,10866667,Africa
Ecuador,99.2,19.968,37760,2.249579931,124.0914087,8.25742912,2.368386526,5205.764571,..,..,76.584,92.82978821,2844281,3.84,17688599,South America
Egypt,100,27.05,238690,2.474943902,231.0941154,5.63305616,4.181221,2818.547458,..,44.95020425,71.656,71.16825104,19648312,11.74,102659126,Africa
El Salvador,96.8,18.429,6380,0.998728265,109.9458609,7.22756004,2.252358774,3441.307945,15.5920496,33.8207289,72.872,88.48271179,1104147,4.39,6491923,North America
Equatorial Guinea,66.28614044,33.725,5630,4.461144462,121.1893713,3.01081419,-5.667502957,11225.31113,..,..,58.061,..,353480,..,1410419,Africa
Equatorial Guinea,66.28614044,33.725,5630,4.461144462,121.1893713,3.01081419,-5.667502957,11225.31113,..,..,58.061,..,353480,..,1410419,Africa
Equatorial Guinea,66.28614044,33.725,5630,4.461144462,121.1893713,3.01081419,-5.667502957,11225.31113,..,..,58.061,..,353480,..,1410419,Africa
Eritrea,47.9732132,30.898,720,0.210964653,..,3.76475835,..,..,..,1.30890698,65.538,..,863863,..,3554797,Africa
Estonia,100,10.5,16280,12.35782429,115.4553248,6.59183788,5.49915471,19153.38812,12.75030041,88.10245687,78.09268293,..,429990,5.76,1326693,Europe
Eswatini,73.5,26.773,1040,0.924602243,155.1280446,6.91085625,2.026570236,4698.722138,..,..,58.319,..,..,..,1162233,Africa
Ethiopia,44.3,32.775,15460,0.145300853,241.9344152,3.50331593,9.564189643,548.4199856,..,18.61805145,65.872,51.7711792,4215965,..,115434444,Africa
Faroe Islands,100,13.1,..,..,..,..,..,..,..,97.58195894,82.29512195,..,..,..,..,..
Fiji,96,21.56,1810,2.062772092,124.8947972,3.18689561,5.353631074,4650.296431,..,49.96637301,67.252,99.08210754,..,..,897573,Oceania
Finland,100,9.1,43010,7.808338601,110.0007799,9.14156628,3.19240963,48177.07796,11.86886024,87.46892907,81.63170732,..,1259875,8.64,5542237,Europe
France,100,11.5,316360,4.727575622,106.864453,11.39050198,2.291419994,42980.72996,9.678580284,80.50245972,82.57560976,..,10844847,9.41,65298930,Europe
French Polynesia,100,14.946,..,..,..,..,..,..,..,72.70389531,77.251,..,..,..,281191,Europe
Gabon,86.27,32.161,4700,2.276236287,114.2524472,2.78074527,0.472642031,9212.368804,..,50.32012015,65.839,..,790784,..,2234448,Africa
Gambia,56.2,38.967,540,0.243913456,151.3842623,3.34084225,4.822611249,760.1226456,..,32,61.44,..,431446,..,2427782,Africa
Gambia,56.2,38.967,540,0.243913456,151.3842623,3.34084225,4.822611249,760.1226456,..,32,61.44,..,431446,..,2427782,Africa
Gambia,56.2,38.967,540,0.243913456,151.3842623,3.34084225,4.822611249,760.1226456,..,32,61.44,..,431446,..,2427782,Africa
Georgia,100,13.718,9630,2.583151735,124.1808583,7.05804443,4.842603225,4512.761095,12.9533596,59.7055046,73.414,99.36425781,1077597,13.94,3987805,Europe
Germany,100,9.5,732200,8.858293699,109.3524635,11.32229614,2.601976005,46862.04197,11.0426302,84.3941537,80.99268293,..,3539234,3.75,83830972,Europe
Ghana,79,29.839,14780,0.507529429,230.8667718,3.32977843,8.128894916,1736.311594,20.09763908,37.88415262,63.463,..,2907222,4.22,31181428,Africa
Gibraltar,100,..,..,..,..,..,..,..,..,..,..,..,..,..,33689,..
Greece,100,8.2,66800,6.211250006,101.0598733,7.96522522,1.280824834,22651.01238,..,69.89297065,81.28780488,..,3157451,21.49,10413936,Europe
Greenland,100,15.2,..,..,..,..,0.468546638,47647.64989,..,69.48246178,70.62243902,..,..,..,56787,Europe
Grenada,94.09955597,16.701,290,2.615581651,106.5693351,4.59776449,4.442740288,8775.898644,14.04117012,59.07173536,72.388,..,..,..,112614,North America
Guam,100,16.71,..,..,..,..,0.890099909,32482.12562,..,80.50546556,79.631,..,..,..,169031,..
Guatemala,93.3,24.912,16510,1.026267857,132.8381008,5.81384373,3.079851491,3236.035032,23.08805084,40.70304908,73.81,..,2813016,2.46,17971382,North America
Guinea,35.4,36.765,2970,0.246115273,218.7104878,4.27482462,10.30000049,869.0354417,13.37679005,11.40002077,60.706,..,1798985,..,13191279,Africa
Guinea,35.4,36.765,2970,0.246115273,218.7104878,4.27482462,10.30000049,869.0354417,13.37679005,11.40002077,60.706,..,1798985,..,13191279,Africa
Guinea,35.4,36.765,2970,0.246115273,218.7104878,4.27482462,10.30000049,869.0354417,13.37679005,11.40002077,60.706,..,1798985,..,13191279,Africa
Guinea-Bissau,26,35.697,300,0.164100679,112.0136578,6.84708118,5.919176626,615.0388506,..,18,57.673,..,537014,..,1975718,Africa
Guinea-Bissau,26,35.697,300,0.164100679,112.0136578,6.84708118,5.919176626,615.0388506,..,18,57.673,..,537014,..,1975718,Africa
Guinea-Bissau,26,35.697,300,0.164100679,112.0136578,6.84708118,5.919176626,615.0388506,..,18,57.673,..,537014,..,1975718,Africa
Guyana,90.33874512,20.202,2320,2.992706568,112.3742898,5.65979004,3.734494656,5617.841962,17.63573074,37.32583679,69.624,..,..,..,787215,South America
Guyana,90.33874512,20.202,2320,2.992706568,112.3742898,5.65979004,3.734494656,5617.841962,17.63573074,37.32583679,69.624,..,..,..,787215,Africa
Haiti,43.34903336,24.75,3370,0.306855526,159.3962004,8.08468342,2.286127252,1277.374288,15.36769962,31,63.29,..,2568981,..,11426356,North America
Honduras,86.5,21.859,9000,0.954500448,138.0534322,7.00069904,4.842913911,2176.294473,..,32.13636364,74.898,..,1318213,5.53,9931333,North America
Hong Kong ,100,7.7,..,..,127.7681573,..,3.791005986,37929.44403,17.84127998,89.41594465,84.6804878,..,7364883,3.13,..,..
Hungary,100,9.7,46550,4.755839977,114.4500172,6.79227543,4.316780987,15912.01463,10.06933975,76.75054712,75.81707317,..,1754955,4.16,9655983,Europe
Iceland,100,11.9,2170,6.319161328,121.9569607,8.3432579,4.194948829,50690.39265,17.69028091,98.25520119,82.66097561,..,..,2.74,341628,Europe
Iceland,100,11.9,2170,6.319161328,121.9569607,8.3432579,4.194948829,50690.39265,17.69028091,98.25520119,82.66097561,..,..,2.74,341628,Europe
India,92.45683289,18.083,2301440,1.7191902,160.3468515,3.53500652,6.795383419,1981.995576,..,18.2,69.165,..,27602257,..,1382345085,Asia
Indonesia,98.14,18.422,532920,2.01367107,142.1824123,2.86824059,5.069785901,4120.442738,..,32.33580625,71.282,..,10401144,3.88,274021604,Asia
Iran,99.94,19.011,620780,7.694930979,333.6733224,8.65966415,3.755196452,6948.710351,20.04203033,64.04397362,76.271,..,8780950,12.23,84176929,Asia
Iran,99.94,19.011,620780,7.694930979,333.6733224,8.65966415,3.755196452,6948.710351,20.04203033,64.04397362,76.271,..,8780950,12.23,84176929,Asia
Iraq,99.83660889,29.693,174290,4.641199885,119.4183812,4.12501717,-1.753660845,5706.280394,..,49.35999889,70.294,85.59999847,6654984,13.02,40372771,Asia
Iraq,99.83660889,29.693,174290,4.641199885,119.4183812,4.12501717,-1.753660845,5706.280394,..,49.35999889,70.294,85.59999847,6654984,13.02,40372771,Asia
Ireland,100,12.9,37530,7.806734135,105.079586,7.15484905,9.129439947,71296.08734,13.46893978,84.11400706,82.15609756,..,1188418,6.71,4947267,Europe
Ireland,100,12.9,37530,7.806734135,105.079586,7.15484905,9.129439947,71296.08734,13.46893978,84.11400706,82.15609756,..,1188418,6.71,4947267,Europe
Isle of Man,100,..,..,..,..,..,2.837739696,92984.69964,..,..,..,..,..,..,85112,Asia
Isle of Man,100,..,..,..,..,..,2.837739696,92984.69964,..,..,..,..,..,..,85112,Europe
Israel,100,21.1,66040,7.579217977,106.401291,7.49766827,3.555612725,34251.95447,15.71827984,81.58118359,82.55121951,..,3905583,4.22,8678517,Asia
Italy,100,7.6,329190,5.437857549,108.7149018,8.6777401,1.667859041,35086.4783,8.313960075,63.077347,82.94634146,..,4177286,11.21,60446035,Europe
Jamaica,97.62187195,16.286,7190,2.461613887,150.7515234,6.14377928,0.997123062,4785.978786,18.40254021,55.07206705,74.267,..,588487,11.63,2963429,North America
Japan,100,7.6,1151930,9.085639143,103.962704,10.79634285,2.168290737,48510.60941,8.378879547,91.72654724,84.0997561,..,37397437,2.8,126407422,Asia
Jordan,100,22.622,26100,2.667119021,119.3298693,8.11925125,2.087114551,3303.416034,11.18813038,66.79031443,74.292,..,1966088,18.14,10220604,Asia
Kazakhstan,100,21.64,225560,12.50486756,168.9512996,3.12588406,4.1,10867.73874,11.41991043,76.42674823,72.95,..,1772779,4.9,18815231,Asia
Kenya,56.09143066,29.296,18890,0.376136379,172.4282386,4.8369956,4.805696525,1156.432827,17.70870018,17.82710021,65.909,..,4222389,..,53968739,Africa
Kiribati,98.6,28.294,80,0.70081382,101.8167556,10.77510738,0.89150817,1763.307233,..,14.58181818,67.851,..,..,..,119760,..
"Korea, Rep.",100,7,625350,12.17536474,113.0508001,7.10694933,3.15963574,27492.57625,..,95.06942188,82.62682927,..,9941235,3.65,..,Asia
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Asia
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Africa
"Korea,South",44.83608627,13.91,22380,0.880069286,..,..,..,..,..,..,71.91,..,3015132,..,..,Africa
Kosovo,99.8,16.2,..,..,113.789451,..,4.226086496,4133.857706,..,83.89359681,71.99512195,..,..,30.34,..,Europe
Kuwait,100,14.651,89720,22.11975932,124.5576318,5.29526615,-4.712106209,33359.40311,..,97.99998933,75.311,96.03594971,2841715,..,4281320,Asia
Kyrgyz Republic,100,24.8,9340,1.506889097,151.5925936,6.18586302,4.739937225,1072.493694,15.7302599,38.19903776,71.2,..,975889,6.89,..,North America
Kyrgyz Republic,100,24.8,9340,1.506889097,151.5925936,6.18586302,4.739937225,1072.493694,15.7302599,38.19903776,71.2,..,975889,6.89,..,Africa
Lao PDR,93.6,23.955,18510,2.662148349,128.8680783,2.52514863,6.892530873,1706.794215,..,25.51043508,67.277,..,657108,9.41,..,Asia
Lao PDR,93.6,23.955,18510,2.662148349,128.8680783,2.52514863,6.892530873,1706.794215,..,25.51043508,67.277,..,657108,9.41,..,Africa
Latvia,100,10.7,7120,3.665855236,110.8520017,6.00696659,3.25072029,15507.64997,11.96763039,80.114077,74.62926829,..,639982,8.72,1882408,Europe
Lebanon,100,17.67,29280,4.293649871,118.9993072,8.44765568,0.850699559,6363.882328,..,78.18077489,78.833,..,2331897,..,6819976,Asia
Lesotho,33.7,27.17,2440,1.166608974,141.4509021,8.94750309,-3.141949946,1273.299635,15.11530972,39,52.947,..,..,..,2145194,Africa
